學校代碼,學校名稱,縣市別,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
1065,吳鳳科技大學,10 嘉義縣,6724,13769,4557,32022,62880,40497,17489,54594,24114,37795,24821,119,0,13300,111002,11122,423,5543,28582,22004,7,484,0
1066,環球科技大學,09 雲林縣,10217,16125,4898,17644,54105,49987,20007,53310,33649,53288,0,57,0,24607,78196,11437,507,7621,36465,45342,5,351,27
1067,台灣首府大學,11 臺南市,13227,45415,19001,44230,137610,96652,53857,155032,50654,36953,0,15,0,1,6,15567,300,856,2453,1498,6,163,0
1068,中州科技大學,07 彰化縣,6706,9965,3500,38669,70566,28687,10768,60300,51619,25559,8795,46,0,3821,48942,11113,580,130,579,12346,1,464,12
1069,修平科技大學,06 臺中市,13168,13714,3857,24962,69066,32651,19311,46235,11055,38115,171,204,114,45587,61427,19629,661,9966,26369,43247,11,435,36
1070,長庚科技大學,03 桃園市,3133,24109,3306,20150,74289,29846,14227,53022,12798,39381,17443,56,0,33448,31578,34150,1021,4303,43030,1306982,16,331,135
1071,臺北城市科技大學,30 臺北市,10419,10153,2353,27563,52695,24295,14227,41363,13536,20810,28148,53,0,16598,220115,8612,885,4352,16203,47630,4,460,44
1072,敏實科技大學,04 新竹縣,6564,2918,946,17441,48588,13631,7220,16577,15165,25299,0,116,43,15441,43265,5778,289,965,5251,20382,2,38,0
1073,醒吾科技大學,01 新北市,8357,12815,4865,14945,36491,37613,20714,42348,12062,22916,11314,50,0,33241,116059,11148,1415,10588,21628,97120,8,227,80
1075,文藻外語大學,50 高雄市,11837,12073,6780,9397,17473,29894,22433,58040,17432,180260,0,146,0,84332,703586,65911,901,22710,92781,1131661,20,427,197
1076,華夏科技大學,01 新北市,5221,8122,2583,33909,57897,20475,10099,28162,14954,30321,6656,80,4,39873,186235,7680,340,3642,10266,96091,0,249,68
1077,慈濟科技大學,15 花蓮縣,6723,21124,11208,21022,71971,47948,20021,49154,16011,43060,10367,154,0,22346,22891,32288,614,18094,70130,73294,7,118,4
1078,致理科技大學,01 新北市,12614,14639,4554,26987,46911,61174,20230,58464,14291,38883,10889,160,2,36961,143387,15285,798,12780,35581,164062,7,1140,448
1079,康寧大學,30 臺北市,9277,18916,6232,27395,58683,52281,20284,55335,20850,37411,10438,88,0,10182,79304,26642,237,3604,25979,247416,7,415,32
1080,宏國德霖科技大學,01 新北市,5675,7818,3585,25436,54921,38910,10564,31134,11342,29238,17098,115,0,11099,122564,7535,562,14827,38208,118955,80,505,77
1081,東方設計大學,12 高雄市,16116,8607,4097,23701,43643,24139,14770,38249,27079,35623,0,60,0,0,96709,21028,450,1491,6450,34891,3,339,76
1082,崇右影藝科技大學,17 基隆市,7927,9382,3842,10731,26302,33010,14295,32281,9246,15851,4057,31,0,1,21251,4952,128,950,3433,6058,3,575,0
1083,台北海洋科技大學,01 新北市,12063,6788,2190,21141,35976,26768,17283,26414,15516,18710,18115,38,0,22480,31994,9095,420,9651,18597,84204,10,520,10
1084,亞東科技大學,01 新北市,20042,10399,2686,22597,48464,22442,14192,28833,11048,22899,26777,87,2,39087,175380,10890,755,6010,23559,234747,14,328,164
1125,中信金融管理學院,21 臺南市,5446,13393,6665,16094,37734,42483,14915,40637,10894,39596,5068,15,0,198,66773,3714,177,1199,3049,7568,1,4,0
1148,大漢技術學院,15 花蓮縣,5655,7689,2977,18058,39339,36299,13399,23804,7551,14588,5266,107,0,105,39423,5591,100,180,551,117502,1,86,0
1159,和春技術學院,12 高雄市,4453,12210,5719,24336,39034,31954,13975,57364,11678,17405,5723,87,5,22620,67221,10713,460,773,3123,29710,0,177,6
1168,南亞技術學院,03 桃園市,8902,5624,3380,19661,43001,21875,9671,22519,15587,57560,43553,51,0,20493,20372,8041,750,8438,22232,1219,22,163,2
1182,蘭陽技術學院,02 宜蘭縣,3549,9763,4338,19195,33589,21322,9476,32121,7642,14119,0,21,0,20,68783,3576,683,353,3115,132,0,510,12
1183,黎明技術學院,01 新北市,8270,10902,3753,21287,42261,19771,16865,30016,11606,27028,5243,45,0,17181,602391,9155,318,4827,13964,85893,12,252,19
1185,經國管理暨健康學院,17 基隆市,17931,13051,5033,8571,38194,26935,11393,38104,11813,20927,0,129,0,48674,669364,10583,234,2912,17716,260121,5,322,72
1188,大同技術學院,20 嘉義市,4619,14559,4424,13561,40211,34896,13018,34159,8189,12520,247,41,0,0,8567,12920,178,1568,4872,36559,4,350,17
1195,馬偕醫學院,01 新北市,489,3105,1184,2444,10617,3577,2854,13709,2214,12478,518,24,56,14479,39481,1288,122,2242,10843,621245,3,0,0
1196,法鼓文理學院,01 新北市,6696,6377,38919,2243,3788,8815,10854,12548,4654,47884,10428,85,42,27913,112357,10708,313,4910,16082,107274,1,367,88
1282,馬偕醫護管理專科學校,30 臺北市,2384,9362,4774,10958,36598,22226,9689,30723,8087,25753,0,52,25,9798,88746,12426,630,3534,8831,40549,7,167,0
1283,仁德醫護管理專科學校,05 苗栗縣,2200,10215,3276,9890,30056,15569,7332,27802,5341,13224,2309,50,0,33775,19111,2850,178,7891,30663,87151,2,428,97
1284,樹人醫護管理專科學校,12 高雄市,2025,9277,3488,11315,25808,15518,9594,50321,9001,28980,0,36,0,72098,29186,6438,368,6933,19751,305401,4,76,0
1285,慈惠醫護管理專科學校,13 屏東縣,3345,14005,4318,10132,37644,19021,8341,31412,7603,14899,3197,21,0,38,15810,5096,660,3224,6602,410285,5,260,5
1286,耕莘健康管理專科學校,01 新北市,4919,9047,3442,9688,28994,14823,8276,25908,6530,19376,3325,24,0,200,124800,10344,780,20646,36668,1383958,1,289,21
1287,敏惠醫護管理專科學校,11 臺南市,4222,7706,2503,7309,21269,15807,8381,22295,4274,7012,1184,53,1,115,17388,5640,238,5554,11306,437749,8,39,14
1289,育英醫護管理專科學校,50 高雄市,1484,5659,1640,4364,16737,7906,5137,16829,3477,10354,292,46,0,8,2066,11000,167,1284,2721,879701,1,119,0
1291,聖母醫護管理專科學校,02 宜蘭縣,3535,7552,2379,9331,30046,13525,7817,22113,7084,1436,1569,19,0,25,33146,2713,202,2451,11500,74715,3,96,1
1292,新生醫護管理專科學校,03 桃園市,2068,7715,2031,5632,21415,15093,8240,23168,5857,12216,239,27,0,0,82952,5158,136,3883,9872,460124,8,200,16
1293,崇仁醫護管理專科學校,10 嘉義縣,2881,7877,4891,7222,25390,12552,7242,22571,4733,11114,1197,25,0,6397,17032,8256,476,5804,17076,182873,4,134,12
3002,臺北市立大學,30 臺北市,58918,23061,5687,25064,30146,106403,34185,68773,30228,91494,29121,342,0,46250,463782,23231,1023,18282,38894,879297,15,318,10
